name_track,artist_track,uri_track,popularity,tempo,genres
Pa Los Gustos Los Colores,Javiielo,spotify:track:6Bd9rs5gv25asdPDRog3ce,72,80,"reggaeton flow, urbano latino"
Dime A Ve,Jhayco,spotify:track:0HMTIZ3iQ6QNjBaD9IE7ZZ,6,180,"reggaeton, trap latino, urbano latino"
La Tóxica,Farruko,spotify:track:15OjBeqNX3bShsGYQbteRv,67,92,"reggaeton, trap latino, urbano latino"
Dime Bbsita Remix,Robledo,spotify:track:7pW8587r5IVPB4SgxNaPgI,42,95,italian pop
No Te Vayas,Yandel,spotify:track:3nowY0ZuWMuAmmAu1plEBP,52,170,"latin hip hop, reggaeton, trap latino, urbano latino"
Ponme al Dia,Yandel,spotify:track:2pPUUM4NPWT4KV7Jf0Mnmb,54,92,"latin hip hop, reggaeton, trap latino, urbano latino"
Anaranjado,Jowell & Randy,spotify:track:5iw28wvyHgj4ppOu5AdcEU,57,176,"reggaeton, trap latino, urbano latino"
Tóxicos,Jowell & Randy,spotify:track:7cu5mthywk97LwG4V463on,45,98,"reggaeton, trap latino, urbano latino"
Si Se Tiran,Jowell & Randy,spotify:track:5L6d5GJvkU4SCTMdzJXXmi,44,95,"reggaeton, trap latino, urbano latino"
Se Acabó la Cuarentena,Jowell & Randy,spotify:track:7kGDAuP9P8mT2epyDwbdDj,60,122,"reggaeton, trap latino, urbano latino"
Celda,Yandel,spotify:track:6wwiESCWRBUAUZv5Q8CNIT,39,84,"latin hip hop, reggaeton, trap latino, urbano latino"
Subconsciente,Yandel,spotify:track:456NTGEm7RgEumnZuCYtJL,44,180,"latin hip hop, reggaeton, trap latino, urbano latino"
Bien Arrebatao,Jowell & Randy,spotify:track:0Qb6O6yQvUZZSZTs2PVYsI,49,180,"reggaeton, trap latino, urbano latino"
Perriando,Jowell & Randy,spotify:track:3qwB1GLNMogyktLqN5ANBE,50,93,"reggaeton, trap latino, urbano latino"
Fantasmita - Remix,Casper Magico,spotify:track:5NOHsDSfLIH45y3i9PfRyh,57,174,"reggaeton, trap latino, urbano latino"
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,spotify:track:6C6mUonH6MNdSg5pw7kOc9,68,117,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
Prendemos,Haze,spotify:track:3YLbntjcsRoButdoVta3rq,52,90,pop
La Pelicula,J Alvarez,spotify:track:0X05H030ZYSsRMLh4E59Ux,44,87,Unknown
Pretextos (feat. Cosculluela),Maluma,spotify:track:7HDOS7qOhBxmcsWTv29PSK,56,87,"latin pop, reggaeton, reggaeton colombiano, urbano latino"
Y Si la Ves,Ñejo,spotify:track:5I1fBcs6zrBcydj9QUMItG,53,79,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
En Alta,Quimico Ultra Mega,spotify:track:1k06OgthvggQJkxhXs27SQ,0,125,"reggaeton, trap latino, urbano latino"
Guaremate de por Vida,El Alfa,spotify:track:7tZ3d59BG8yFc5P68R5XXk,46,122,"reggaeton, trap latino, urbano latino"
Pegate - Remix,Mora,spotify:track:7C2RvtNZvxPdol2JXAdxVK,55,186,alt z
Billetes Azules (with J Balvin),KEVVO,spotify:track:7HmnJHfs0BkFzX4x8j0hkl,45,95,"reggaeton, reggaeton flow, trap latino, urbano latino"
Eva,Yandel,spotify:track:7L2gGJciod5bLHHNebQwCj,42,176,"latin hip hop, reggaeton, trap latino, urbano latino"
Travesuras,Flow La Movie,spotify:track:2etJ67Egf7woMgOikVrlJM,58,176,"reggaeton, trap latino, urbano latino"
Motorola,Morad,spotify:track:3XkPX66UVP2FhtnvJBzpl1,0,130,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Strawberry Kiwi,Rauw Alejandro,spotify:track:4jkZjaZkOCpgk2pqV8Wrw3,56,82,"pop, r&b en espanol"
Baby,Elilluminari,spotify:track:3S0rMmXQcXcqsePT0vDq5a,0,94,dembow dominicano
Tu Mama Bien,Marvel Boy,spotify:track:2GYOOZ1JLr6kCJT2wbuTXB,33,93,"reggaeton flow, trap latino, urbano latino"
Te Recordaré (with Farruko),Ceky Viciny,spotify:track:6swxM2GLudCGiE50UGwVOp,37,122,dembow dominicano
