name_track,artist_track,uri_track,popularity,tempo,genres,urlImage,album
Highway to Hell,AC/DC,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,87,115.728,"australian rock, hard rock, rock",https://i.scdn.co/image/ab67616d0000b27351c02a77d09dfcd53c8676d0,Highway to Hell
Stupid Girls,P!nk,spotify:track:5oxGaQRd6cLnEcxxbw0soP,0,100.04,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273b44f4351afe9c3b3919663f4,I'm Not Dead
Please Don't Leave Me,P!nk,spotify:track:3BaEK0XWsJ4Ss9qODrpdTz,47,138.002,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273790135cc2befdab89b925ef3,Funhouse
So What,P!nk,spotify:track:19qn6oU2t0E72ENA0aWNsX,0,126.011,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273faef39535383dcf65ab03f02,Funhouse: The Tour Edition
Yo Más Te Adoro,Morat,spotify:track:6urbRajNcgBMRaIAmVDAr0,0,181.948,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Cómo Te Atreves,Morat,spotify:track:2z0EshEO4XptiepEb9j3Og,0,130.98,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Cuánto Me Duele,Morat,spotify:track:1PVjdldNeaJxETpW0jpJQo,0,142.044,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Di Que No Te Vas,Morat,spotify:track:34MilMUEbFSaPyr0djhdto,0,98.983,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Aprender A Quererte,Morat,spotify:track:52M5auEmcKuKLJzuwWj5xs,0,101.02,colombian pop,https://i.scdn.co/image/ab67616d0000b273797cd69b7e6ca4914e53c23f,Sobre El Amor Y Sus Efectos Secundarios
Chop Suey!,System Of A Down,spotify:track:5V3mdRI2yQxbSsJGDPc5lD,0,127.204,"alternative metal, nu metal, rap metal, rock",https://i.scdn.co/image/ab67616d0000b2732c8ceb2f9b28109b36d07bc4,Toxicity
B.Y.O.B.,System Of A Down,spotify:track:0EYOdF5FCkgOJJla8DI2Md,79,101.414,"alternative metal, nu metal, rap metal, rock",https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71,Mezmerize
Toxicity,System Of A Down,spotify:track:7MeXwzhSDGfqNfuFANgzVC,2,116.335,"alternative metal, nu metal, rap metal, rock",https://i.scdn.co/image/ab67616d0000b2732c8ceb2f9b28109b36d07bc4,Toxicity
The One That Got Away,Katy Perry,spotify:track:3oL3XRtkP1WVbMxf7dtTdu,74,133.962,pop,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,Teenage Dream: The Complete Confection
Hoy toca ser feliz,Mägo de Oz,spotify:track:13RP005cDlNlZD23CIRUb1,63,105.082,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b273409841a01c3a1f4add30fb3d,Gaia II (Edicion lujo)
Yerbatero,Juanes,spotify:track:4vV8DOiykSm1Ot5fciCIjX,0,96.033,"colombian pop, latin pop, mexican pop, rock en espanol",https://i.scdn.co/image/ab67616d0000b2739a0c67f2795c338c93b9d431,P.A.R.C.E.
Para Tu Amor,Juanes,spotify:track:7I48vvHUHNnLm7dkfzaH2j,0,95.006,"colombian pop, latin pop, mexican pop, rock en espanol",https://i.scdn.co/image/ab67616d0000b27329f1ec6649f276d8db4944d6,Mi Sangre
La posada de los muertos,Mägo de Oz,spotify:track:0ZICpziYDXDYmQ38hgJuXE,61,146.082,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b273409841a01c3a1f4add30fb3d,Gaia II (Edicion lujo)
Fiesta Pagana,Mägo de Oz,spotify:track:02dphTJYUQ9pmdNC52iyOz,72,135.54,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b2733e782d96dc4cbe7950a274a9,Finisterra
Molinos De Viento,Mägo de Oz,spotify:track:19vhfSUgVJO2enJ6XidUGO,72,138.31,"celtic metal, latin rock, medieval rock, rock en espanol, spanish folk metal, spanish metal",https://i.scdn.co/image/ab67616d0000b2732d53712ff7eb4d40d995a666,La Leyenda De La Mancha
Te Quiero,Amén,spotify:track:5sJiArYhfG8V5m1230keXf,0,187.707,peruvian rock,https://i.scdn.co/image/ab67616d0000b2731362606f45704419accaf5d6,Libre
Fin del tiempo,Amén,spotify:track:4VKe1uEpHH2fP4oMItMgPI,0,141.453,peruvian rock,https://i.scdn.co/image/ab67616d0000b2733e16436493c519540306b599,Amen
The Lazy Song,Bruno Mars,spotify:track:386RUes7n1uM1yfzgeUuwp,80,174.915,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,Doo-Wops & Hooligans
Just the Way You Are,Bruno Mars,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,85,109.021,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,Doo-Wops & Hooligans
Locked out of Heaven,Bruno Mars,spotify:track:3w3y8KPTfNeOKPiqUTakBh,89,143.994,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,Unorthodox Jukebox
Treasure,Bruno Mars,spotify:track:55h7vJchibLdUkxdlX3fK7,83,116.017,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,Unorthodox Jukebox
Secrets,OneRepublic,spotify:track:4zweVv3Wa6XgexhoUOzkYs,0,148.021,"piano rock, pop",https://i.scdn.co/image/ab67616d0000b273ab4c5504803f9287ffd670ae,Waking Up
Secrets,"Tiësto, KSHMR, VASSY",spotify:track:5uLSHSB8HGzVoMl0Q9YKcv,0,128.165,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance",https://i.scdn.co/image/ab67616d0000b27370161e8821b31cbea00ccbcb,"Club Life, Vol. 4 - New York City"
Tengo Tu Love,Sie7e,spotify:track:2hgzokI1dOZAxs5PUG0gBT,64,94.999,"puerto rican rock, reggae en espanol",https://i.scdn.co/image/ab67616d0000b2733561fb1fc5483c3e1d6790de,Mucha Cosa Buena
Runaway (U & I),Galantis,spotify:track:46lFttIf5hnUZMGvjK0Wxo,77,126.008,"dance pop, edm, pop, pop dance",https://i.scdn.co/image/ab67616d0000b2732b517912fd69652ff10d8e11,Pharmacy
Sugar,Maroon 5,spotify:track:494OU6M7NOf4ICYb4zWCf5,61,120.076,pop,https://i.scdn.co/image/ab67616d0000b2735430b6be862e01be82a50bc8,V (Deluxe)
